review,date,rating,location
The pizza was delicious and the pasta was amazing.,2026-09-01,5,City café
Excellent fresh pizza with a perfect crispy crust.,2026-09-02,5,Campus café
The pasta tasted terrible and the pizza was cold.,2026-09-03,1,City café
"Awful stale pizza, very disappointed with the food.",2026-09-04,1,Campus café
Lovely pasta and delicious fresh bread.,2026-09-05,5,City café
The pizza arrived burnt and tasted horrible.,2026-09-06,1,Campus café
The waiter was rude and the service was terrible.,2026-09-07,1,City café
Friendly staff and excellent quick service.,2026-09-08,5,Campus café
We waited an hour and the rude waiter ignored us.,2026-09-09,2,City café
The staff were helpful and the service was wonderful.,2026-09-10,5,Campus café
Slow service and an awful wait for our table.,2026-09-11,2,City café
Our waiter was kind and very attentive.,2026-09-12,5,Campus café
The coffee was excellent and the dessert was delicious.,2026-09-13,5,City café
"Bitter coffee and a stale cake, very disappointing.",2026-09-14,1,Campus café
Amazing chocolate cake and lovely coffee.,2026-09-15,5,City café
The dessert was terrible and the coffee tasted awful.,2026-09-16,1,Campus café
"Fresh cake and perfect cappuccino, loved it.",2026-09-17,5,City café
The cappuccino was cold and the dessert was horrible.,2026-09-18,1,Campus café
The dirty tables and filthy washroom were disgusting.,2026-09-19,1,City café
The dining area was clean and the washroom was spotless.,2026-09-20,5,Campus café
Dirty plates and sticky tables ruined our visit.,2026-09-21,1,City café
Comfortable seating and a beautiful clean dining area.,2026-09-22,5,Campus café
The washroom was filthy and the floor was dirty.,2026-09-23,1,City café
Lovely atmosphere with clean tables and comfortable chairs.,2026-09-24,5,Campus café
"The bill included extra charges, a terrible surprise.",2026-09-01,2,City café
Great value and affordable prices for generous portions.,2026-09-02,5,Campus café
Overpriced tiny portions and an incorrect bill.,2026-09-03,2,City café
Excellent value for money and fair prices.,2026-09-04,5,Campus café
The expensive meal was disappointing and not worth the price.,2026-09-05,2,City café
Fair prices and a great affordable lunch.,2026-09-06,5,Campus café
The restaurant opens at noon.,2026-09-07,3,City café
There are six tables near the window.,2026-09-08,3,Campus café
